cluster,long,lat,region
342,37.40002099,5.623559213,SNNPR
343,34.28983706,8.195862363,Gambela
344,40.00352773,12.18649654,Afar
345,39.78815955,11.25370401,Amhara
346,34.06250187,8.328362878,Gambela
347,38.02535432,6.933492021,SNNPR
348,40.33903021,11.98734091,Afar
349,35.63121653,9.528825951,Oromia
350,38.15057417,10.19546041,Amhara
351,39.59345004,12.42487356,Tigray
352,41.88920572,9.591973954,Dire Dawa
353,38.79696196,8.865168748,Addis Adaba
354,39.26936325,11.19538338,Amhara
355,39.09446619,13.8345954,Tigray
357,42.16743744,9.358685032,Harari
358,43.53778057,5.966941424,Somali
359,38.07584795,8.007987787,SNNPR
360,37.76896157,7.333284126,SNNPR
361,36.86205372,11.27564913,Amhara
362,39.94406495,13.88966682,Afar
363,41.85116554,9.606960161,Dire Dawa
364,35.66129962,10.63447352,Benishangul
365,38.69333494,7.003310273,SNNPR
366,42.1631336,12.4010681,Afar
368,40.15114452,11.26014482,Afar
369,38.73148371,9.045473048,Addis Adaba
370,33.68462603,8.296239134,Gambela
371,35.3152309,7.200253826,Gambela
372,41.3124021,8.949349829,Oromia
373,37.95568325,7.217157936,SNNPR
374,34.70006586,9.590824048,Benishangul
375,37.48081651,10.57533307,Amhara
376,35.6361934,6.782496731,SNNPR
377,40.01973223,5.203234056,Somali
378,47.00792045,7.650692704,Somali
380,41.84685977,9.571187686,Dire Dawa
381,42.146004,9.367862,Harari
382,37.32855261,11.2877856,Amhara
383,42.10606497,9.344612923,Harari
384,39.59041122,13.43096382,Tigray
385,41.87013854,9.606621684,Dire Dawa
386,36.25203512,11.29879471,Benishangul
387,42.13112128,9.316775911,Harari
388,37.89509883,7.24201401,SNNPR
389,40.08820752,11.86841423,Afar
390,41.86648287,9.600624397,Dire Dawa
391,38.59371176,7.193591365,Oromia
392,39.32667693,12.87673747,Tigray
393,42.10758723,9.320982967,Harari
394,40.7544684,5.148672542,Somali
395,34.48430632,9.539646787,Benishangul
396,42.12759147,9.329464838,Harari
397,42.11921895,9.31284483,Harari
398,38.44306021,5.748740719,Oromia
399,37.28952942,9.243069431,Oromia
400,38.62101,14.1228947,Tigray
401,39.20895585,11.96720047,Amhara
402,38.85730201,9.03024479,Addis Adaba
403,37.66869901,11.15772908,Amhara
404,39.44225143,14.28531466,Tigray
405,38.80778876,6.567453816,SNNPR
406,37.16524971,6.448206997,SNNPR
407,34.73727814,10.19887082,Benishangul
408,38.28095275,6.797714246,SNNPR
409,34.64918677,10.2983711,Benishangul
410,39.57231888,11.45194083,Amhara
411,36.34366637,8.453818891,Oromia
412,40.87389351,9.090824004,Oromia
413,39.50935205,14.48401667,Tigray
414,38.75667619,9.028589115,Addis Adaba
415,36.2518349,11.47746775,Benishangul
416,34.7083832,9.849300222,Benishangul
417,34.19646742,7.637428173,Gambela
418,42.12521558,9.302163552,Harari
419,42.16762173,9.360527149,Harari
420,38.15899808,7.335741786,SNNPR
421,39.75971614,13.34272165,Afar
422,39.18288061,5.844299802,Oromia
423,38.79359249,9.739793501,Oromia
424,39.25152197,13.29861855,Tigray
425,38.35359114,13.35181416,Amhara
426,33.95244324,8.331661865,Gambela
427,41.16499106,12.53287852,Afar
428,38.80682405,9.025650137,Addis Adaba
429,37.50393094,11.07544334,Amhara
430,39.33275401,13.61792027,Tigray
431,37.22078153,11.54314917,Amhara
432,36.73355189,7.858150301,Oromia
433,34.72786853,9.995074413,Benishangul
434,37.43060318,6.57244006,SNNPR
435,33.48677935,8.26872073,Gambela
436,42.24330901,9.301796571,Harari
437,35.4886079,7.059671492,SNNPR
438,39.0073174,7.996361651,Oromia
439,42.80599253,9.351353042,Somali
440,41.43300502,11.55571756,Afar
441,41.7366983,9.48846,Dire Dawa
442,39.63828867,12.55932116,Tigray
443,42.09849603,9.325928067,Harari
444,41.87143597,9.598238764,Dire Dawa
445,38.39633182,6.376026033,SNNPR
446,34.49173151,7.640999117,Gambela
447,36.97094814,7.527085939,Oromia
448,34.84663054,8.054914825,Gambela
449,39.55111075,12.77736081,Tigray
450,37.28692371,6.064311923,SNNPR
451,38.76722494,8.961933037,Addis Adaba
452,40.47570697,7.410924782,Oromia
453,41.79239205,9.303716224,Oromia
454,42.18019608,9.244191072,Harari
455,39.63320691,12.16137918,Amhara
456,37.90232142,11.42664729,Amhara
457,34.77743038,10.6356891,Benishangul
458,43.57194937,8.222771296,Somali
459,35.32163132,7.24638555,Gambela
460,38.88843203,10.75388652,Amhara
461,39.13533367,14.17732657,Tigray
462,34.62604859,9.492698607,Oromia
463,38.73154503,9.064638869,Addis Adaba
464,38.77483275,9.061045352,Addis Adaba
465,35.315757,7.230187,Gambela
466,36.7573297,5.480089364,SNNPR
467,41.85243736,9.60300355,Dire Dawa
468,38.69274555,6.566216188,SNNPR
469,34.59797856,8.248007728,Gambela
470,36.48700121,6.45900986,SNNPR
471,41.86611226,9.584129351,Dire Dawa
472,40.38234009,7.114708582,Oromia
473,42.03961204,9.397156769,Oromia
474,37.49962935,10.47734189,Amhara
475,38.74078302,8.929112971,Addis Adaba
476,40.74456504,8.888552584,Oromia
477,35.80268025,7.173967939,SNNPR
478,39.35224282,11.88841275,Amhara
479,38.96225821,14.50213035,Tigray
480,41.25261805,6.300866015,Somali
481,39.07027968,14.05460132,Tigray
482,38.19895546,10.45791428,Amhara
483,42.14694207,9.29984676,Harari
484,40.03751769,9.727612199,Afar
485,37.85176586,8.998227662,Oromia
486,36.93156912,7.529399449,Oromia
487,38.70056164,8.996628103,Addis Adaba
488,39.87304822,12.50402726,Afar
489,36.33925351,7.491548194,Oromia
490,44.25901124,6.745501845,Somali
491,40.99548149,9.471394998,Somali
492,44.09283669,6.641318714,Somali
493,41.87586738,9.607568823,Dire Dawa
494,36.777892,10.258507,Oromia
495,42.137482,9.362312,Harari
496,39.66695129,11.62664588,Amhara
497,43.7062642,7.82919796,Somali
498,36.44112535,10.96302834,Amhara
499,41.09127857,11.72641826,Afar
500,42.121514,9.298784927,Harari
501,42.18902325,9.286124885,Harari
502,37.48655148,7.701180099,SNNPR
503,37.6629098,6.169670743,SNNPR
504,36.96689862,13.55172258,Tigray
505,37.52904067,6.266022681,SNNPR
506,40.7533818,9.120627185,Oromia
507,33.70015896,8.288661726,Gambela
508,34.46266574,10.11544343,Benishangul
509,38.81185316,9.027809432,Addis Adaba
510,38.63484692,10.16065752,Oromia
511,39.89231045,13.17056235,Afar
512,37.82786046,11.82667211,Amhara
513,42.12400018,9.236727779,Harari
514,41.8772998,9.604892425,Dire Dawa
515,36.45521754,11.0743566,Benishangul
516,37.16212337,11.42078471,Amhara
517,37.95306423,9.31851166,Oromia
518,38.96216396,6.74302213,Oromia
519,41.8659998,9.581022926,Dire Dawa
520,42.05287106,4.18055779,Somali
521,43.5273796,8.187184197,Somali
522,38.75849594,7.708676804,Oromia
523,42.03626047,9.543029668,Dire Dawa
524,39.33500054,8.12057518,Oromia
526,35.26979478,7.268636633,Gambela
527,43.27267863,9.264633222,Somali
528,38.17033572,14.29366009,Tigray
529,40.31755189,8.501743197,Oromia
531,37.84126499,10.26545634,Amhara
532,38.73727787,9.05552853,Addis Adaba
533,36.26121325,10.77359541,Benishangul
534,42.13296294,9.311666362,Harari
535,41.86328452,9.581127179,Dire Dawa
536,33.51230754,8.285520253,Gambela
537,37.99410301,7.488452517,SNNPR
538,39.1773523,13.32425833,Tigray
539,38.76810959,8.960498472,Addis Adaba
541,36.42095685,11.28918161,Benishangul
542,38.97627911,12.79154704,Amhara
543,44.24874838,6.747682973,Somali
544,40.24239925,12.34998087,Afar
545,38.70497908,11.3789777,Amhara
546,41.832132,9.608958565,Dire Dawa
547,40.28872569,10.87706845,Afar
548,36.34459359,11.20628881,Benishangul
549,34.58702724,8.25260299,Gambela
550,39.47408746,13.48353781,Tigray
551,38.51513128,13.67104108,Tigray
552,35.32196224,7.23157092,Gambela
553,43.55340828,8.214234688,Somali
554,35.31736453,7.417913592,Gambela
555,35.637972,8.130989311,Oromia
556,41.83759711,5.330795492,Somali
557,41.74715272,9.485515776,Dire Dawa
558,35.44812812,8.553292641,Oromia
559,36.22653863,10.69984259,Benishangul
560,38.81812935,9.027789109,Addis Adaba
562,39.48447538,7.63430127,Oromia
563,34.82645677,10.10221267,Benishangul
564,40.32616485,9.555410198,Afar
565,37.65192643,7.146475869,SNNPR
566,42.45514391,9.455400529,Oromia
567,34.27579617,8.182848419,Gambela
568,43.16706668,9.082073695,Somali
569,35.09023188,10.20337229,Benishangul
570,40.77453893,11.42313611,Afar
571,40.00678433,11.66417134,Afar
572,38.96452393,9.956409907,Amhara
573,43.39708448,8.696688541,Somali
574,38.14500062,5.97758559,Oromia
575,38.95834997,13.50810444,Tigray
576,38.67556442,6.734969261,SNNPR
577,37.69376095,7.820223336,SNNPR
578,38.56056079,7.248405726,Oromia
579,38.8462207,13.61560322,Tigray
580,42.12698855,9.282058059,Harari
581,34.51344272,10.12438072,Benishangul
582,38.76063359,9.033606655,Addis Adaba
583,37.85658824,14.08531461,Tigray
584,38.38285004,14.12892247,Tigray
585,40.07762189,13.64634756,Afar
586,36.02771866,7.747932308,Oromia
587,42.13944318,9.303257303,Harari
588,43.55886563,8.206952872,Somali
589,38.77035338,7.306150803,Oromia
590,38.70338999,14.13529291,Tigray
591,39.18760587,11.77644781,Amhara
592,33.72641138,8.331210705,Gambela
593,34.52210175,7.893413613,Gambela
594,41.7805489,9.520493879,Dire Dawa
595,34.67966213,10.1067083,Benishangul
596,41.49304329,11.49410717,Afar
597,38.58991052,14.12376528,Tigray
598,39.39263699,14.27337646,Tigray
599,40.39664044,12.56993669,Afar
600,38.39319276,6.308001009,SNNPR
601,38.64670218,4.211064805,Oromia
602,36.47031846,11.42658107,Benishangul
603,34.01386453,8.256958836,Gambela
604,39.17805246,13.98901744,Tigray
605,39.5398213,13.47144263,Tigray
606,41.86412741,9.599429647,Dire Dawa
607,42.08829403,9.296387996,Harari
608,38.6929461,8.984924243,Addis Adaba
609,38.22357533,7.216138671,Oromia
610,42.10275096,9.370004177,Oromia
611,39.77690976,11.33974896,Amhara
612,37.30875842,13.5453363,Tigray
613,41.87286337,9.575721722,Dire Dawa
614,42.10461082,9.313356396,Harari
615,36.4071397,11.00914548,Benishangul
616,39.31482905,11.12556277,Amhara
617,39.28127459,10.93957626,Amhara
618,33.22950631,8.238419504,Gambela
619,39.0915945,7.464092157,Oromia
620,40.23718299,10.5670619,Afar
621,35.44376498,9.759681979,Benishangul
622,42.26228459,9.354788699,Harari
623,39.62979754,13.72391704,Tigray
624,39.72682663,9.595170935,Amhara
626,38.72776125,9.038602188,Addis Adaba
627,38.52184101,11.59394896,Amhara
628,38.24309109,12.82354212,Amhara
629,46.20450189,7.238404956,Somali
630,46.99157992,7.717177525,Somali
631,41.8592068,9.581194239,Dire Dawa
632,41.47053192,11.58887717,Afar
633,38.35856907,7.896074596,SNNPR
634,38.37835669,6.578483327,SNNPR
635,38.74185268,9.024238655,Addis Adaba
636,38.70662616,13.95416262,Tigray
637,39.71849828,10.14331992,Amhara
638,37.44259161,12.91086819,Amhara
639,38.77815938,9.026198593,Addis Adaba
640,37.51068673,12.67371919,Amhara
642,42.13063467,9.624925098,Dire Dawa
643,34.374815,9.249945,Benishangul
644,41.83553262,9.597025835,Dire Dawa
645,38.70560678,8.990524739,Addis Adaba
